@metric_space hamming
item42311 1010010101000111
item12995 0011001011000011
item63022 1111011000101110
item55154 1101011101110010
item58558 1110010010111110
item56247 1101101110110111
item65441 1111111110100001
item39105 1001100011000001
item8750 0010001000101110
item40774 1001111101000110
item18853 0100100110100101
item19160 0100101011011000
item22213 0101011011000101
item12156 0010111101111100
item12756 0011000111010100
item59159 1110011100010111
item58757 1110010110000101
item39935 1001101111111111
item25244 0110001010011100
item62319 1111001101101111
item52620 1100110110001100
item35506 1000101010110010
item62370 1111001110100010
item3384 0000110100111000
item33035 1000000100001011
item31939 0111110011000011
item8939 0010001011101011
item6155 0001100000001011
item45087 1011000000011111
