numConform: 100
N: 6
21.0333 58.3834 53.1822
37.1709 -0.959572 2.43324
17.7129 58.2313 65.6154
89.473 -64.8161 39.5142
-27.8318 35.5619 30.3232
-6.05703 97.2209 -54.7405
-62.3978 56.5553 54.2933
71.2423 -12.9846 -40.1811
54.803 94.9771 38.8226
-69.8619 -93.6024 76.0611
-33.0768 27.4309 34.4445
-79.8946 -35.3982 -66.5151
22.5386 82.3147 91.7163
-11.8459 71.7877 -73.0998
-72.3318 -56.0442 62.462
57.9915 37.8988 59.6829
-96.749 75.501 16.2382
57.5443 46.7433 -96.7464
-82.6368 1.5463 98.2306
56.1857 31.6844 -95.3717
32.2468 98.6075 32.0592
-33.3087 -81.2871 96.661
0.176251 41.2516 78.9757
-8.1075 -70.5944 50.7634
18.7927 -42.9261 94.7192
-18.7453 -84.9347 32.618
-59.0624 -81.6837 8.11907
57.1757 75.8606 -45.1376
60.4293 93.2238 56.4087
58.66 49.4096 -11.9069
63.2882 -18.3436 -13.2994
-4.65261 48.3477 5.41354
-7.99166 -51.476 -53.3349
-29.016 40.4165 -23.9293
-78.2526 -40.7909 33.1446
-83.5333 40.4638 48.2099
49.0847 81.4014 66.5262
-42.7962 38.5771 42.3869
12.0662 -0.993569 35.6107
-31.5251 -42.3336 -14.9798
56.5679 -79.0454 66.6766
-56.7315 16.302 15.0243
48.6821 -91.6897 63.5483
95.3472 -20.7056 3.96474
-28.5821 1.04179 63.1739
-95.4375 17.5084 3.63769
52.7724 -33.4069 -14.9609
19.2987 23.7969 -76.3838
-38.3145 -64.1369 22.6226
97.2962 4.33791 80.289
-17.6835 -39.0942 -98.7564
-51.0069 4.17438 17.5456
64.0174 -47.1435 25.856
27.5657 -51.7963 -94.8497
-68.4696 19.6216 6.19212
94.7043 24.1841 -76.2994
-1.658 -23.0435 -9.70631
83.3811 96.2552 -85.9094
-93.0027 -42.0593 -50.0463
29.6199 -44.763 54.2916
9.90892 37.5534 -84.8026
11.1525 86.5465 19.3718
-71.3018 50.5639 72.2282
54.5541 -21.8704 -79.5681
59.7045 9.66005 40.0535
-34.1034 4.36436 -35.7624
-10.4029 -97.2936 41.1941
79.8908 86.0874 37.4493
93.9814 93.0847 95.39
-56.0649 22.7046 -49.373
98.2266 -67.3865 88.1804
-86.576 43.7661 74.7269
32.7958 72.4643 25.2908
5.02407 27.0184 -96.5796
25.456 -13.2771 13.0805
-34.4905 52.6194 -82.5552
29.747 -57.7834 -79.8488
-29.0589 -77.8926 -93.7614
-91.6096 -83.9112 99.3234
-96.2196 -39.9761 22.028
-45.5926 -41.7494 54.6415
-57.4122 -28.3254 -1.59239
-82.6853 -95.5296 -29.1281
42.6055 9.4945 97.8903
46.0259 -65.0495 -15.3869
-40.8936 0.459945 -62.7674
-23.4488 -69.793 -20.5508
-3.2976 1.14812 1.55659
2.94105 9.53854 17.6454
2.26442 13.319 77.6694
-75.7076 67.7263 -64.0801
78.9339 -89.6859 7.59451
-22.6585 -72.3712 12.0649
48.2134 70.2342 -78.4406
46.1037 16.2601 -43.4901
-69.2832 75.3665 56.9698
-32.0506 -48.0823 87.1768
47.3985 48.6201 -11.675
-51.0449 -48.4389 97.8635
66.6006 53.8256 11.1825
44.2699 78.118 -21.0912
80.1898 57.0519 -10.7771
-12.2157 -65.6066 16.8517
99.8493 82.6069 -12.9141
-78.5913 28.7105 -96.654
-22.0814 59.4274 78.7125
-65.1116 -72.6233 -69.3698
-77.9347 74.7753 79.2503
10.3902 -76.2696 -69.1885
8.25374 90.331 84.637
-80.5638 34.6009 62.755
-1.65499 14.7907 19.8069
87.5679 -97.4249 54.2003
4.41961 -97.5757 36.8072
91.5055 -76.167 -34.4823
94.8516 1.75162 -75.0549
73.5641 36.6401 -47.6782
-95.8057 58.7053 -72.9029
83.4447 -30.9044 -49.1725
-85.7439 77.3493 -58.8415
98.8931 96.7855 75.7594
61.6481 -4.86946 -9.44984
-18.545 -17.3015 -6.87477
-64.3447 87.1181 -4.45043
72.4625 78.6236 19.3826
-62.0198 73.4752 -78.8658
-37.0747 47.0393 57.7743
15.2471 51.2336 16.4796
42.3442 34.6783 85.5752
93.1717 48.9344 62.9245
-65.6698 47.8275 59.7101
-89.9103 9.47565 -45.1594
0.639824 90.9306 37.5391
93.7651 -73.414 24.6572
-10.6854 99.0484 3.28075
-91.3028 -62.9714 -23.2441
-70.1686 -0.0460844 -76.2048
87.6057 -84.799 75.0288
4.08535 57.5452 9.70714
-10.3394 50.7169 -41.3585
-47.4149 85.0472 -93.5309
-87.7048 95.1368 15.9447
-32.8642 -4.22334 6.87538
-95.3251 -10.4583 33.4613
29.332 78.8563 32.5098
-67.3872 87.5536 69.5384
9.36872 -82.615 -30.5077
33.1639 -95.0093 -15.3067
8.19279 9.07607 -57.7615
-82.1001 98.7366 92.9555
-23.4585 -48.6783 78.0026
-16.9895 -36.3831 73.1395
98.9553 30.7528 -31.0839
5.83066 35.4276 58.4578
-60.708 -35.2403 37.3142
71.8018 -2.62751 24.8677
41.3402 -93.2588 42.2527
-89.1675 39.9052 47.2434
-4.47416 -51.9021 -43.6805
37.7644 -34.0021 -44.9439
30.7199 42.5393 6.37789
8.72249 -74.4501 69.9948
-18.138 -75.4948 0.747581
50.7781 30.3358 -63.8248
9.23595 69.6278 0.93492
-53.4499 41.4296 98.3074
71.4179 -17.2302 -94.9514
13.6706 -6.39773 44.9538
-39.0859 89.1281 93.0517
17.2336 26.8925 -40.9504
72.2897 -42.3876 -98.4111
-21.3324 66.3348 -72.8612
-51.3376 -51.8032 -48.356
49.41 98.9749 81.9798
85.5852 8.21087 51.6076
-13.4798 54.761 -6.9628
-15.1724 26.1789 75.807
-10.1238 -60.1505 -30.5908
-65.17 0.763535 -41.4626
-72.1183 -82.0029 85.4298
-13.0687 90.2868 -56.9578
-11.4798 -31.0456 -90.623
15.6591 17.6169 -42.4261
67.303 -32.9731 -43.4512
49.2828 -47.3879 64.7597
0.89046 39.1323 19.5207
93.9277 -76.0401 -54.3005
69.7346 13.8361 -14.451
-60.8561 48.6661 86.3125
-2.31878 76.5478 -95.6904
-16.8889 -36.5209 94.5965
26.1533 51.9993 -36.4491
35.5303 -32.3416 81.1678
93.1042 -65.0386 -51.8053
-50.347 84.2443 0.806795
-85.5874 -14.8653 -60.0609
33.9333 -20.9376 -36.101
79.6328 -51.203 77.7351
-34.8182 -12.0591 26.4011
-48.5056 85.6221 2.94893
-44.196 -31.2668 66.428
-49.5995 94.8864 18.4274
13.9514 30.4168 86.0858
-4.88086 23.5209 -78.9528
43.3138 73.1739 -94.7085
-55.8794 87.5865 -9.57379
-15.9403 21.5198 69.4886
47.9587 1.15258 -81.7144
25.6938 66.3344 6.22653
-47.9051 -82.1713 -8.15136
55.0438 -26.3672 60.5818
21.4718 24.0332 55.4683
-60.1008 -62.0154 -14.115
-74.015 33.1037 -90.5941
-52.9679 -23.5825 82.5798
-47.6764 20.5381 70.1663
42.7498 -95.4022 -8.31388
12.2384 52.5565 92.8387
30.5241 -21.7498 59.1731
-63.2494 30.3451 77.0018
28.5992 -14.611 -49.3654
-10.8189 -93.1392 74.6678
-55.3507 -53.24 -87.3476
30.5343 -27.255 45.7561
39.9403 19.7771 -77.8263
22.5201 72.1008 42.7118
-7.31358 14.8506 47.3096
84.3725 -72.911 -0.133875
77.2112 57.6131 78.1164
36.3843 94.3637 8.46152
13.3862 22.9629 93.8505
64.0208 -87.856 -99.2887
38.6886 -43.2067 -52.5287
51.341 87.3276 20.2163
-2.90285 27.2679 -60.0065
19.2708 -50.212 -87.9058
-38.0174 42.4744 26.9448
-90.7077 26.8469 54.0338
9.15839 4.05817 11.6469
-12.7252 -59.5575 6.01061
95.7363 53.8287 -71.0264
89.5868 17.8495 -58.8824
90.2981 -43.4619 -2.08912
-62.2306 -92.1209 -14.7615
57.9858 4.97623 -87.4936
97.9792 -75.7529 -37.7056
-89.9265 -13.7703 -95.2312
37.0183 -4.47803 31.6157
-8.94792 -95.3196 -64.3261
-97.301 -8.04487 -23.8836
8.7096 -12.3086 -70.0549
37.6832 -22.7218 47.7946
78.8007 -32.4237 -95.6674
-23.2884 5.34572 -87.7883
61.9501 -36.6685 17.1879
74.4565 -38.6893 41.435
-63.2491 -28.6158 -72.3353
-58.4804 -91.5976 23.1867
73.1353 -0.545478 27.867
-91.1908 2.15351 -80.1778
-15.0744 -89.1369 7.51359
14.8706 48.5463 84.7918
-37.3348 27.347 -47.6319
-33.0022 -95.9414 57.7138
-20.7905 66.0087 -78.9547
96.3974 40.4652 -17.644
37.8324 77.2161 53.7402
65.4971 -81.2642 62.1426
-11.3162 91.8711 -38.4028
-83.4491 -99.3197 63.7507
-63.627 -14.3942 74.6138
43.8866 -99.5235 23.1601
28.6784 -36.8583 -49.4929
81.0465 30.1395 -45.4343
38.7603 -90.651 -79.4256
59.8056 -94.2536 61.0396
-57.8384 43.5788 38.2557
95.9018 9.07599 56.9915
58.0444 97.7598 48.8626
-80.3584 -85.6893 49.5429
83.3923 -49.3163 -64.8513
58.0061 94.5704 -64.3748
-18.8339 23.2488 -1.23313
31.6732 4.29529 -71.0937
86.2389 -56.9444 -61.7447
-93.1868 -97.1388 -55.9983
67.8529 -54.9772 87.5806
6.10861 -59.0754 -3.34345
-36.8999 98.969 -5.58363
-88.0373 -81.3894 8.72706
61.5056 -97.9971 59.4108
96.6544 60.009 53.9812
-67.7204 -58.8249 -22.77
31.0464 72.8483 81.5253
59.9528 59.0872 -75.4191
98.2081 65.9004 -72.558
-57.7902 33.7533 -27.5352
-70.2097 -60.1381 13.3894
26.4469 2.96203 12.3584
-79.1368 14.9248 30.969
29.5903 -23.5696 32.972
-10.9989 -26.9152 -7.01906
-57.0177 5.36434 34.1561
20.2122 -63.5892 7.00441
1.73751 96.3636 -33.9084
26.3184 94.5716 -68.0079
53.7604 -63.2186 65.7454
-73.7748 -33.4283 -94.3927
39.6146 93.0186 8.56931
-48.027 -86.1181 -76.5059
82.9421 43.4722 -0.0755345
15.914 -67.5267 73.0092
-91.105 -24.5444 -21.6264
43.051 95.6678 14.7843
-49.9446 -2.59469 11.1479
16.1471 -76.2763 5.71955
48.1391 77.4841 42.501
13.8845 -96.2907 -90.9273
19.4917 43.3239 -97.9087
-71.939 95.2969 -84.0268
-48.4449 78.239 59.4454
51.4796 -5.84695 91.9186
24.4888 3.04802 -32.6258
-97.1376 -53.9009 -36.958
17.6467 -3.8455 60.4473
-71.2054 -87.6984 84.171
34.5142 60.4407 61.6551
-22.9848 -25.6749 65.3644
-13.9121 93.8169 8.6883
-11.8208 -78.1221 3.98524
4.15239 -26.567 -17.7757
-36.4022 -75.0874 76.3773
-44.4836 49.4014 -20.5747
22.8906 52.2638 25.5244
85.9326 -30.0895 -78.3211
46.3799 -1.29484 -66.0196
30.5509 -66.7807 94.4211
-7.79403 10.2345 -31.2538
-42.4296 96.3224 -37.4369
66.2587 -15.4985 -15.559
-29.7561 88.6539 57.874
52.4682 -47.7483 82.7867
28.8455 7.7681 32.1881
-91.7292 -69.3413 -15.5481
33.7952 -83.4087 54.3624
55.4741 62.9712 -46.9324
89.4545 -6.47793 -13.7131
83.8756 85.728 96.5214
-47.3782 -56.7016 92.8438
15.1849 -90.443 -22.6547
99.6259 -20.1991 -34.0007
57.5 -67.7309 18.251
40.2866 61.1145 -73.9809
-27.5253 69.3853 -43.3222
56.9266 3.18051 -26.731
11.289 -41.3454 -63.7598
64.3566 -51.891 29.7623
-49.3565 -68.0154 15.4903
-52.8351 -15.3936 58.7887
-59.9913 99.7914 68.3457
17.354 99.4173 -51.8533
83.3533 56.9172 -19.5843
1.60428 -2.79616 -58.4697
27.6233 69.6785 -89.0844
84.3011 26.6051 14.0961
-42.4299 -62.1058 72.7507
-6.18965 -97.7493 -79.1403
-76.4274 -47.1057 -47.1556
39.0629 0.0591992 37.4508
-2.14836 40.0679 37.2422
-33.8026 -42.578 36.6595
14.344 -59.2247 -6.42332
94.7598 42.3795 90.7805
-63.7099 -29.9971 60.4591
-52.7943 -45.696 -12.9358
61.3019 11.8741 24.9583
34.0526 -94.3155 27.2091
54.9123 -70.7429 80.1033
-92.2433 68.32 -19.8375
45.2075 -33.8283 -79.7695
-17.5503 32.369 -22.3476
-80.8909 -53.2869 18.4277
12.6858 -58.5271 -39.1928
3.46633 -22.2371 30.8101
-36.0746 24.9687 85.1141
50.9896 -13.7295 -3.01179
-24.0521 -79.6769 2.67266
-96.843 75.2354 31.9297
83.2604 82.992 0.249757
-36.5771 28.1995 66.4214
-16.3466 -89.3508 -1.20954
61.3058 -70.2416 45.5035
-20.2665 42.4442 86.9764
40.5407 -54.0895 -35.2606
-28.6491 9.83591 89.708
-43.535 -39.1745 -24.0215
53.4532 36.7734 -3.69839
-43.8742 39.9304 -28.463
88.0556 23.1908 -45.471
-11.6947 86.6137 82.7286
-45.2733 -29.7329 93.3778
53.5172 -68.4272 -76.8638
-0.979262 11.3063 65.5803
-14.0029 -48.1529 -88.5091
50.7365 23.1979 21.3268
40.4445 79.6629 82.1523
-83.5769 33.116 18.9257
12.7247 89.2418 -41.1439
84.2616 77.2974 82.0469
-61.2093 -34.3973 68.6606
-78.4808 20.3294 -61.0723
-85.103 -26.1534 -29.4995
-61.9669 72.8674 81.8069
-96.3865 -41.1355 -66.3461
-84.8956 -90.399 56.8518
36.4311 50.0455 36.5147
18.5834 66.4686 -30.3693
-62.4909 -20.8067 -41.1274
-3.63474 -36.5451 -63.8301
-21.5878 2.24555 1.77264
-52.9272 23.7648 -77.8979
-13.9995 38.6617 -4.05131
56.501 76.6949 -31.184
38.3078 80.3084 27.6805
71.9618 95.4127 37.2816
28.8136 31.8439 -12.6729
-34.6717 -49.5727 -46.2043
34.959 -12.0636 32.9889
93.8316 84.3017 96.4438
-69.9985 -37.2861 -1.3106
31.7742 9.78667 -77.5458
53.8762 95.7871 61.1159
-50.1751 52.2881 37.8108
18.641 -9.40402 18.1192
-53.6785 -37.4423 13.5319
83.6031 91.3713 -54.6242
-29.0699 -43.3004 -4.19686
24.7258 91.6586 83.7396
-42.2852 85.4902 68.0413
-45.8414 -84.5083 -69.2448
52.848 47.2659 40.5418
75.3022 1.1421 36.329
36.4181 50.967 -11.3829
-25.7711 -30.392 79.2131
92.348 15.9295 -58.2292
5.87995 -0.467484 -66.8578
51.2558 70.4627 -10.1582
-52.9411 -4.81151 -18.4996
-69.2015 52.9033 -33.0094
98.8398 -92.9381 -17.5176
-70.4051 59.9099 -70.2518
70.1368 35.2121 30.8903
6.46574 -28.3699 -18.1427
95.0828 45.859 51.4653
74.2959 38.207 -32.6052
-83.9333 -55.913 66.9273
-50.7911 95.3428 37.3899
39.0507 -57.5983 -67.4216
-79.4489 -26.7998 85.4817
-12.4582 -27.9601 92.5436
70.0241 1.63487 52.4535
99.7724 -28.2284 -12.3345
30.6627 78.2374 59.2957
-87.48 73.3202 5.15468
63.9853 47.6161 -56.6383
-68.6199 63.6828 -12.5513
98.3074 -87.1083 -17.2085
35.6973 51.9424 25.1931
68.2757 72.4935 98.3933
53.7574 -39.9648 -29.5668
46.301 -69.9407 72.0681
-1.24554 -70.1683 -56.1603
86.42 60.4944 -77.9229
45.7157 73.0144 95.3973
-49.1296 36.9997 43.0134
-5.76792 68.3798 6.69619
81.6808 66.6872 19.5879
-35.5278 2.38447 -28.4698
89.6653 -29.3398 -55.9763
88.0586 -75.5824 4.05893
-41.5082 70.7186 34.1183
-69.4401 -30.5269 63.95
-25.6004 -44.1069 24.4443
-3.52333 -98.3913 -2.54128
-8.12605 -47.5209 -65.5416
-65.1127 46.7112 -97.1617
41.5835 28.392 69.5254
-38.8286 92.8642 -28.0901
32.7017 82.5295 42.5701
76.7254 70.5882 66.9877
-19.2157 -70.92 37.7063
-85.0974 -40.3601 -92.8207
78.8525 34.0395 -36.9276
3.29684 -69.4838 -35.3189
-99.2444 22.3901 17.1603
-64.786 57.2774 -36.1285
-61.9477 -1.13905 92.2634
-92.4223 60.0324 85.1276
-20.5124 -7.26599 67.6572
-77.9423 -30.5406 38.2453
89.0454 50.2437 67.3253
26.7516 65.1463 -73.0348
33.931 43.9988 61.0047
97.0034 -52.7044 91.5209
-38.3155 -51.9488 13.911
78.8448 -16.7348 -28.8116
-57.2837 21.3174 70.0494
-65.0203 28.8951 30.0817
-79.8927 -91.6173 -77.1843
87.7645 -69.5597 -7.72488
26.0098 -80.5143 -57.4812
-6.66489 46.2373 -92.3349
20.3003 -19.8317 51.6638
-18.695 -22.8283 98.9595
-27.1741 38.8562 -52.9894
86.7369 17.701 30.2758
-42.0747 60.4173 -48.4068
-72.0254 95.397 80.4884
58.0563 -84.4957 88.871
80.8721 -96.7313 -80.6886
-26.8528 29.2785 -61.2029
15.666 -77.3864 85.0344
23.3311 42.9139 -34.7972
-25.0051 -75.781 42.3745
-26.0456 -2.95516 -18.7693
20.965 -16.2183 98.9318
-48.7592 41.707 59.3491
2.83405 69.6816 54.746
-16.6776 27.7379 70.2503
-27.8065 8.61001 73.519
-8.49515 81.7572 2.79749
30.3019 -2.57678 25.4111
15.3364 -79.2457 -31.675
80.5392 -4.25082 -7.45601
22.9136 69.7035 89.5888
-95.8557 -9.33148 -26.6295
-96.9239 41.9093 -84.9225
62.4252 -55.2566 84.7591
17.1712 28.0658 12.497
-12.5785 -99.7408 -78.893
-39.0596 -8.23592 -97.1358
63.7379 -77.934 0.287446
-10.851 37.4024 21.0417
57.4741 17.9416 -83.2091
-49.9819 -59.1448 86.4944
-60.3931 -55.0005 -22.837
12.9774 -51.9243 -80.9277
28.0549 -89.4992 -36.1843
12.814 27.672 91.8814
-74.689 -84.9065 92.1407
-53.582 -23.9661 -16.0953
-50.7178 -60.2281 5.97077
49.5697 28.9209 -56.6268
-29.3886 -13.605 61.3148
-12.5977 36.413 -97.83
-26.1033 76.0199 -52.8305
51.0597 -11.0027 -4.75484
70.132 -82.9478 5.74598
-66.0524 29.8661 -66.582
-74.1709 55.1771 -51.4885
-82.0303 -98.4049 24.5454
1.87446 -49.1227 64.3172
-92.1548 -99.553 -6.76188
-48.7816 -28.9416 79.6331
-87.4668 58.4607 16.0461
-85.2969 -67.6426 -7.93404
-38.1274 83.4171 81.0633
57.1178 53.5491 98.1154
-37.1362 87.4967 27.9816
-3.71825 -86.6742 -16.8413
44.7932 -68.7045 -15.2462
-30.6614 33.17 35.6311
-66.3442 41.0152 36.0781
26.8939 92.2336 -92.8636
6.52702 -95.2332 65.5971
-77.4269 -80.5301 97.9545
14.6391 -18.6574 81.3716
-4.29769 -61.5397 34.9207
-6.18225 1.32411 22.4175
-78.2007 97.6059 35.7433
4.95801 42.3991 67.0388
89.7118 -88.2623 0.208772
25.3429 -54.6065 -58.776
-38.579 72.2874 -66.5424
-31.4426 -21.1856 -61.7756
-65.8455 1.38754 -42.3057
-67.8909 -83.9734 39.0369
-86.5193 11.7289 77.4972
48.4014 -94.4533 -21.1787
-29.1811 -72.654 -23.5728
-93.4379 32.304 -81.1737
73.6009 22.0158 -69.4361
-26.1903 -52.6413 -24.0426
15.0337 8.7797 -51.7552
48.4913 77.3371 27.0592
86.7157 -88.5083 -71.5532
-55.59 -56.3993 -55.5266
83.4469 -42.9186 56.2023
60.9441 -94.5172 61.749
-60.2345 -23.6983 89.095
